experiment,model,DR,granularity,split,features,MAE,RMSE,R2,R2_std
E1E2,xgboost,tou_optimization,ma3,random,env_lags,14.931,25.801,0.809,
E1E2,xgboost,tou_optimization,ma6,random,env_lags,11.519,18.027,0.8702,
E1E2,xgboost,tou_optimization,ma12,random,env_lags,8.978,12.824,0.9008,
E1E2,persistence,tou_optimization,raw,random,env_lags,28.925,58.217,0.3854,
E1E2,persistence,tou_optimization,ma3,random,env_lags,20.918,33.782,0.6725,
E1E2,persistence,tou_optimization,ma6,random,env_lags,16.622,24.297,0.7642,
E1E2,persistence,tou_optimization,ma12,random,env_lags,12.225,16.728,0.8312,
E1E2,seasonal_naive,tou_optimization,raw,random,env_lags,55.747,99.486,-0.7949,
E1E2,seasonal_naive,tou_optimization,ma3,random,env_lags,46.85,76.25,-0.6683,
E1E2,seasonal_naive,tou_optimization,ma6,random,env_lags,41.576,63.813,-0.6269,
E1E2,seasonal_naive,tou_optimization,ma12,random,env_lags,35.425,51.63,-0.6076,
E1E2,ets,tou_optimization,raw,random,env_lags,59.135,82.659,-0.2391,
E1E2,ets,tou_optimization,ma3,random,env_lags,49.165,64.719,-0.2019,
E1E2,ets,tou_optimization,ma6,random,env_lags,40.983,52.979,-0.1213,
E1E2,ets,tou_optimization,ma12,random,env_lags,30.82,40.331,0.019,
E1E2,lstm,tou_optimization,raw,random,env_lags,22.564,46.123,0.6133,
E1E2,lstm,tou_optimization,ma3,random,env_lags,15.521,26.903,0.7918,
E1E2,lstm,tou_optimization,ma6,random,env_lags,12.027,18.921,0.8569,
E1E2,lstm,tou_optimization,ma12,random,env_lags,9.245,13.212,0.8947,
E1E2,cnn_lstm,tou_optimization,raw,random,env_lags,22.881,45.817,0.6173,0.0041
E1E2,cnn_lstm,tou_optimization,ma3,random,env_lags,15.814,26.357,0.8,0.0046
E1E2,cnn_lstm,tou_optimization,ma6,random,env_lags,12.228,18.399,0.8647,0.0062
E1E2,cnn_lstm,tou_optimization,ma12,random,env_lags,9.489,13.058,0.8973,0.0083
E1E2,linear_regression,price_based,raw,random,env_lags,26.957,50.594,0.519,
E1E2,linear_regression,price_based,ma3,random,env_lags,20.143,31.469,0.7013,
E1E2,linear_regression,price_based,ma6,random,env_lags,16.162,23.141,0.7724,
E1E2,linear_regression,price_based,ma12,random,env_lags,12.585,17.2,0.8102,
E1E2,random_forest,price_based,raw,random,env_lags,21.741,44.54,0.6272,
E1E2,random_forest,price_based,ma3,random,env_lags,14.798,25.687,0.801,
E1E2,random_forest,price_based,ma6,random,env_lags,11.495,18.009,0.8621,
E1E2,random_forest,price_based,ma12,random,env_lags,9.002,12.945,0.8925,
E1E2,svr,price_based,raw,random,env_lags,33.604,52.394,0.4841,
E1E2,svr,price_based,ma3,random,env_lags,24.851,33.926,0.6528,
E1E2,svr,price_based,ma6,random,env_lags,20.006,25.83,0.7164,
E1E2,svr,price_based,ma12,random,env_lags,15.612,19.691,0.7512,
E1E2,knn,price_based,raw,random,env_lags,27.529,53.931,0.4534,
E1E2,knn,price_based,ma3,random,env_lags,19.235,34.246,0.6462,
E1E2,knn,price_based,ma6,random,env_lags,15.033,24.674,0.7412,
E1E2,knn,price_based,ma12,random,env_lags,12.038,18.298,0.7852,
E1E2,gbm,price_based,raw,random,env_lags,21.819,44.541,0.6272,
E1E2,gbm,price_based,ma3,random,env_lags,14.942,25.691,0.8009,
E1E2,gbm,price_based,ma6,random,env_lags,11.583,18.03,0.8618,
E1E2,gbm,price_based,ma12,random,env_lags,9.155,13.046,0.8908,
E1E2,xgboost,price_based,raw,random,env_lags,21.382,43.89,0.638,
E1E2,xgboost,price_based,ma3,random,env_lags,14.759,25.657,0.8014,
E1E2,xgboost,price_based,ma6,random,env_lags,11.416,17.958,0.8629,
E1E2,xgboost,price_based,ma12,random,env_lags,8.911,12.834,0.8943,
E1E2,persistence,price_based,raw,random,env_lags,33.045,61.621,0.2864,
E1E2,persistence,price_based,ma3,random,env_lags,25.302,38.196,0.5599,
E1E2,persistence,price_based,ma6,random,env_lags,20.635,28.567,0.6531,
E1E2,persistence,price_based,ma12,random,env_lags,14.982,19.697,0.7511,
E1E2,seasonal_naive,price_based,raw,random,env_lags,58.69,100.807,-0.9097,
E1E2,seasonal_naive,price_based,ma3,random,env_lags,49.86,77.826,-0.827,
E1E2,seasonal_naive,price_based,ma6,random,env_lags,44.161,65.223,-0.8084,
E1E2,seasonal_naive,price_based,ma12,random,env_lags,36.74,52.423,-0.7632,
E1E2,ets,price_based,raw,random,env_lags,62.753,85.255,-0.3659,
E1E2,ets,price_based,ma3,random,env_lags,53.035,67.744,-0.3843,
E1E2,ets,price_based,ma6,random,env_lags,44.248,55.571,-0.3128,
E1E2,ets,price_based,ma12,random,env_lags,32.438,41.619,-0.1113,
E1E2,lstm,price_based,raw,random,env_lags,22.968,46.519,0.5923,
E1E2,lstm,price_based,ma3,random,env_lags,15.851,27.135,0.7772,
E1E2,lstm,price_based,ma6,random,env_lags,12.275,19.086,0.845,
E1E2,lstm,price_based,ma12,random,env_lags,9.402,13.366,0.8853,
E1E2,cnn_lstm,price_based,raw,random,env_lags,23.376,46.062,0.5983,0.0069
E1E2,cnn_lstm,price_based,ma3,random,env_lags,16.205,26.521,0.7868,0.003
E1E2,cnn_lstm,price_based,ma6,random,env_lags,12.483,18.413,0.8556,0.0031
E1E2,cnn_lstm,price_based,ma12,random,env_lags,9.56,12.918,0.893,0.0045
E1E2,linear_regression,behavioral_dr,raw,random,env_lags,24.104,47.988,0.5792,
E1E2,linear_regression,behavioral_dr,ma3,random,env_lags,17.542,28.748,0.7664,
E1E2,linear_regression,behavioral_dr,ma6,random,env_lags,14.225,21.053,0.8283,
E1E2,linear_regression,behavioral_dr,ma12,random,env_lags,11.417,15.794,0.8546,
E1E2,random_forest,behavioral_dr,raw,random,env_lags,21.571,44.434,0.6393,
E1E2,random_forest,behavioral_dr,ma3,random,env_lags,14.546,25.438,0.8171,
E1E2,random_forest,behavioral_dr,ma6,random,env_lags,11.345,17.887,0.8761,
E1E2,random_forest,behavioral_dr,ma12,random,env_lags,9.045,12.993,0.9016,
E1E2,svr,behavioral_dr,raw,random,env_lags,29.706,49.762,0.5475,
E1E2,svr,behavioral_dr,ma3,random,env_lags,21.565,30.957,0.7291,
E1E2,svr,behavioral_dr,ma6,random,env_lags,17.336,23.304,0.7897,
E1E2,svr,behavioral_dr,ma12,random,env_lags,13.686,17.942,0.8123,
E1E2,knn,behavioral_dr,raw,random,env_lags,26.28,52.75,0.4916,
E1E2,knn,behavioral_dr,ma3,random,env_lags,18.408,33.319,0.6862,
E1E2,knn,behavioral_dr,ma6,random,env_lags,14.447,24.062,0.7758,
E1E2,knn,behavioral_dr,ma12,random,env_lags,11.685,17.904,0.8131,
E1E2,gbm,behavioral_dr,raw,random,env_lags,21.179,44.003,0.6462,
E1E2,gbm,behavioral_dr,ma3,random,env_lags,14.385,25.163,0.821,
E1E2,gbm,behavioral_dr,ma6,random,env_lags,11.133,17.682,0.8789,
E1E2,gbm,behavioral_dr,ma12,random,env_lags,8.943,12.869,0.9035,
E1E2,xgboost,behavioral_dr,raw,random,env_lags,20.982,43.647,0.6519,
E1E2,xgboost,behavioral_dr,ma3,random,env_lags,14.265,25.064,0.8224,
E1E2,xgboost,behavioral_dr,ma6,random,env_lags,11.073,17.519,0.8811,
E1E2,xgboost,behavioral_dr,ma12,random,env_lags,8.801,12.629,0.907,
E1E2,persistence,behavioral_dr,raw,random,env_lags,27.434,56.658,0.4135,
E1E2,persistence,behavioral_dr,ma3,random,env_lags,19.317,32.372,0.7038,
E1E2,persistence,behavioral_dr,ma6,random,env_lags,15.499,23.507,0.786,
E1E2,persistence,behavioral_dr,ma12,random,env_lags,12.307,17.263,0.8263,
E1E2,seasonal_naive,behavioral_dr,raw,random,env_lags,54.045,98.411,-0.7695,
E1E2,seasonal_naive,behavioral_dr,ma3,random,env_lags,45.249,75.562,-0.614,
E1E2,seasonal_naive,behavioral_dr,ma6,random,env_lags,40.419,63.586,-0.5658,
E1E2,seasonal_naive,behavioral_dr,ma12,random,env_lags,35.522,52.08,-0.5813,
E1E2,ets,behavioral_dr,raw,random,env_lags,55.552,79.634,-0.1587,
E1E2,ets,behavioral_dr,ma3,random,env_lags,45.679,61.868,-0.082,
E1E2,ets,behavioral_dr,ma6,random,env_lags,38.171,50.752,0.0025,
E1E2,ets,behavioral_dr,ma12,random,env_lags,29.675,39.258,0.1015,
E1E2,lstm,behavioral_dr,raw,random,env_lags,21.519,44.623,0.6359,
E1E2,lstm,behavioral_dr,ma3,random,env_lags,14.791,25.969,0.8092,
E1E2,lstm,behavioral_dr,ma6,random,env_lags,11.424,18.277,0.8706,
E1E2,lstm,behavioral_dr,ma12,random,env_lags,8.845,12.85,0.9037,
E1E2,cnn_lstm,behavioral_dr,raw,random,env_lags,22.173,45.116,0.6271,0.0059
E1E2,cnn_lstm,behavioral_dr,ma3,random,env_lags,15.381,25.794,0.8117,0.0032
E1E2,cnn_lstm,behavioral_dr,ma6,random,env_lags,12.063,18.095,0.8732,0.0029
E1E2,cnn_lstm,behavioral_dr,ma12,random,env_lags,9.493,13.014,0.9014,0.0033
